,TICKER,Patrimonio Liq,Ativos,Ativo Circulante,Divida Bruta,Disponbilidade,Divida Liq,Valor de Merc,Valor de Firma,Liquidez Media,Setor,Subsetor,Segmento
164,COCE3,4.242.319.000,13.115.452.000,3.010.329.000,5.831.955.000,354.235.000,5.477.720.000,"<strong class=""value"">2.974.901.259</strong>",8.452.621.259,"<strong class=""value"">10.002,00</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
165,COCE5,4.242.319.000,13.115.452.000,3.010.329.000,5.831.955.000,354.235.000,5.477.720.000,"<strong class=""value"">2.974.901.259</strong>",8.452.621.259,"<strong class=""value"">642.837,67</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
166,COCE6,4.242.319.000,13.115.452.000,3.010.329.000,5.831.955.000,354.235.000,5.477.720.000,"<strong class=""value"">2.974.901.259</strong>",8.452.621.259,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
167,COGN3,12.083.346.000,25.222.306.000,4.390.949.000,7.373.545.000,1.296.109.000,6.077.436.000,"<strong class=""value"">6.005.139.872</strong>",12.082.575.872,"<strong class=""value"">73.921.830,19</strong>",Consumo Cíclico,Diversos,Serviços Educacionais
168,CORR3,4.665.000,16.138.000,12.142.000,0,12.014.000,-12.014.000,"<strong class=""value"">1.278.895</strong>",-10.735.105,"<strong class=""value"">-</strong>",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
169,CORR4,4.665.000,16.138.000,12.142.000,0,12.014.000,-12.014.000,"<strong class=""value"">1.278.895</strong>",-10.735.105,"<strong class=""value"">-</strong>",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
170,CPFE3,18.172.748.000,73.774.877.000,16.947.006.000,25.129.631.000,5.703.708.000,19.425.923.000,"<strong class=""value"">42.552.756.469</strong>",61.978.679.469,"<strong class=""value"">53.259.809,00</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
171,CPLE11,"


()

",23.253.055.000,55.701.389.000,13.313.738.000,15.140.340.000,5.557.887.000,"<strong class=""value"">9.582.453.000</strong>",27.978.763.344,"<strong class=""value"">100 %</strong>", ,Utilidade Pública,Energia Elétrica
172,CPLE3,23.253.055.000,55.701.389.000,13.313.738.000,15.140.340.000,5.557.887.000,9.582.453.000,"<strong class=""value"">27.978.763.344</strong>",37.561.216.344,"<strong class=""value"">52.600.209,00</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
173,CPLE5,23.253.055.000,55.701.389.000,13.313.738.000,15.140.340.000,5.557.887.000,9.582.453.000,"<strong class=""value"">27.978.763.344</strong>",37.561.216.344,"<strong class=""value"">7.235,92</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
174,CPLE6,23.253.055.000,55.701.389.000,13.313.738.000,15.140.340.000,5.557.887.000,9.582.453.000,"<strong class=""value"">27.978.763.344</strong>",37.561.216.344,"<strong class=""value"">244.214.605,67</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
175,CPRE3,5.981.264.000,12.127.541.000,2.215.414.000,1.032.589.000,1.436.634.000,-404.045.000,"<strong class=""value"">10.824.655.048</strong>",10.420.610.048,"<strong class=""value"">-</strong>",Utilidade Pública,Energia Elétrica,Energia Elétrica
176,CREM3,189.701.000,693.715.000,418.112.000,299.811.000,107.394.000,192.417.000,"<strong class=""value"">465.122.474</strong>",657.539.474,"<strong class=""value"">-</strong>",Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
